ref,organisation,category,id,link,version,title,subtitle,description,body,created,updated,access,state,keywords,supersedes,superseded
ST740,World Health Organization (WHO),Specification,,ICD-11 for Mortality and Morbidity Statistics (who.int),,ICD-11 for Mortality and Morbidity Statistics,,This webpage allows the user to search the ICD-11 mortality and morbidity statistics on diseases and related health problems for the condition/s they are interested in.,"This webpage allows the user to search the International Statistical Classification of Diseases and Related Health Problems 11th revision (ICD-11) mortality and morbidity statistics on diseases and related health problems for the condition/s they are interested in. 
Main sections:
· Certain infectious and parasitic diseases
· Neoplasms 
· Diseases of the blood or blood-forming organs
· Diseases of the immune system
· Endocrine, nutritional or metabolic diseases 
· Mental, behavioural or neurodevelopmental disorders 
· Sleep-wake disorders
· Diseases of the nervous system 
· Diseases of the visual system 
· Diseases of the ear or mastoid process 
· Diseases of the circulatory system 
· Diseases of the respiratory system 
· Diseases of the digestive system 
· Diseases of the skin
· Diseases of the musculoskeletal system or connective tissue 
· Diseases of the genitourinary system 
· Conditions related to sexual health
· Pregnancy, childbirth or the puerperium 
· Certain conditions originating in the perinatal period 
· Developmental anomalies 
· Symptoms, signs or clinical findings, not elsewhere classified 
· Injury, poisoning or certain other consequences of external causes 
· External causes of morbidity or mortality 
· Factors influencing health status or contact with health services 
· Codes for special purposes
· Supplementary chapter Traditional Medicine conditions
· Supplementary section of functioning assessment
· Extension codes",Jan-24,,Open,Active,"WHO
Specification
Terminology
International Statistical Classification of Diseases
ICD-11
Disease classification
Morbidity statistics
Mortality statistics",,
ST734,Therapeutic Goods Administration (TGA),Supplementary Resource,,https://www.tga.gov.au/sites/default/files/standard-serialisation-and-data-matrix-codes-medicines.pdf,V 1.0,Standard for serialisation and data matrix codes on medicines v1.0,Guidance for TGO 106,This guidance is for sponsors and manufacturers supplying medicines in Australia that are serialised or have data matrix codes. It describes the requirements in the Therapeutic Goods (Medicines – Standard for Serialisation and Data Matrix Codes) (TGO 106) Order 2021.,"This guidance is for sponsors and manufacturers supplying medicines in Australia that are serialised or have data matrix codes. It describes the requirements in the Therapeutic Goods (Medicines – Standard for Serialisation and Data Matrix Codes) (TGO 106) Order 2021. The purpose of TGO 106 is to provide clarity for adopters of serialisation and data matrix codes on medicines supplied in Australia. It is the first step in establishing requirements that support all systems relying on the codes. Where possible, TGO 106 requirements align with global standards to provide consistency for sponsors and manufacturers operating in multiple jurisdictions and to ensure global interoperability.
Main sections:
· About this guidance
· About TGO 106
· Medicines that are subject to TGO 106 requirements
· Medicines that are exempt from TGO 106
· Machine-readable codes
· Serialised medicines
· Relevant level of packaging
· Requirements of TGO 106",Mar-21,,Open,Active,"TGA
Supplementary resource
Guidance document
Identifiers
Labelling
TGO 106
Serialisation on medicines
Barcodes on medicines",,
ST730,Therapeutic Goods Administration (TGA),Guidance Document,,https://www.tga.gov.au/sites/default/files/medical-device-patient-information-leaflets-and-implant-cards.pdf,1.9,Medical device patient information leaflets and implant cards (including acceptance of Implementation Plans) v1.9,,"This document aims to help manufacturers and sponsors understand the legislative requirements for patient information materials, such as patient implant cards and patient information leaflets, and how to comply with these requirements.","This document aims to help manufacturers and sponsors understand the legislative requirements for patient information materials, such as patient implant cards and patient information leaflets, and how to comply with these requirements.
Main sections:
· Patient information materials
· Patient information leaflets
· Patient implant cards
· Review by the TGA
· Reporting adverse events
· Attachment 1: Timetable for transition
· Attachment 2: Implantable medical devices exempted from requirements
· Attachment 3: Best practice for patient information leaflets and patient implant cards
· Attachment 4: Breast Implants – specific information to be included about adverse events
· Attachment 5: Urogynaecological meshes – specific information to be included about adverse events",Oct-22,May-23,Open,Active,"TGA
Guidance Document
Medical device
Patient information materials
Implant cards",,
ST729,Therapeutic Goods Administration (TGA),Guidance Document,,https://www.tga.gov.au/sites/default/files/medical-device-cyber-security-information-users.pdf,1.2,Medical device cyber security information for users v1.2,"Consumers, health professionals, small business operators and large scale service providers",This document describes cyber security practices and protocols for the medical device sector and aims to help medical device users manage cyber security risk.,"Medical devices are used in various environments and cyber security risks depend on the knowledge and approach of medical device users. Manufacturers and sponsors are responsible for supplying compliant medical devices, whereas users share responsibility for providing a cyber secure environment in which to use for these devices.
This document describes cyber security practices and protocols for the medical device sector and aims to help medical device users manage cyber security risk. It also helps support the Australian Government’s cyber security strategy.
This document is for groups or individuals who represent users of medical devices, including in-vitro diagnostic medical devices.
Main sections:
· Report potential cyber security issues
· Guidance for different users
· Guidance for patients and consumers
· Guidance for health and medical professionals
· Guidance for small business operators
· Guidance for large-scale service providers
· Cyber security intelligence and threat sharing
· Known vulnerabilities
· The evolving cyber security landscape",,Nov-22,Open,Active,"Therapeutic Goods Administration
Guidance Document
Medical device
Cyber security
Essential Eight",,
ST727,Therapeutic Goods Administration (TGA),Guidance Document,,https://www.tga.gov.au/sites/default/files/electronic-instructions-use-eifu.pdf,1,Electronic Instructions for Use – eIFU v1.0,For professional users of medical devices (including IVDs),This guideline aims to support manufacturers and sponsors who supply instructions for use of their medical devices in an electronic or online format.,"To reduce regulatory burden on the Australian medical device industry, the Therapeutic Goods Administration allows instructions for use of medical devices to be provided electronically in certain circumstances. This also aligns with similar regulators, such as Health Canada, the United States Food and Drug Administration and the European Commission.
This guideline aims to support manufacturers and sponsors who supply instructions for use of their medical devices via their website or other electronic format.
Main sections:
· Definitions
· Information that must be provided with a medical device
· Requirements for the provision of eIFU",Aug-18,,Open,Active,"Therapeutic Goods Administration
Guidance Document
Medical device
Medical device instructions
Online instructions",,
ST724,Therapeutic Goods Administration (TGA),Supplementary Resource,,https://www.tga.gov.au/sites/default/files/argb-appendix-11-guidance-tgo-107-standard-biologicals-labelling-requirements.pdf,2,ARGB Appendix 11 - Guidance on TGO 107: Standard for Biologicals – Labelling Requirements v2.0,Australian Regulatory Guidelines for Biologicals,"This document describes mandatory labelling requirements for biologicals and human cell and tissue (HCT) materials specifically for manufacturers, sponsors and providers of these materials, and should be read in conjunction with TGO 107.","The Therapeutic Goods (Standard for Biologicals—Labelling Requirements) (TGO 107) Order 2021 specifies the minimum requirements for labelling of biologicals and human cell and tissue (HCT) materials.
This document describes mandatory labelling requirements for biologicals and HCT materials specifically for manufacturers, sponsors and providers of these materials, and should be read in conjunction with TGO 107.
Main sections:
· About TGO 107
· Part 2 - Labelling requirements
· Annex 1: Location of requirements in dossier",Sep-21,Feb-23,Open,Active,"Therapeutic Goods Administration
Supplementary document
Labelling
Medical products of human origin
Cells and tissues
TGO 107",,
ST733,Therapeutic Goods Administration (TGA),Guidance Document,,https://www.tga.gov.au/sites/default/files/2024-04/regulatory-basics-medical-devices-health-practitioners.pdf,V 1.0,Regulatory basics on medical devices for health practitioners v1.0,,"This guidance is for Australian health practitioners who manufacture, supply and use medical devices. It helps them identify whether their devices are regulated by the Therapeutic Goods Administration (TGA) and it also advises how to comply with the requirements of the therapeutic goods legislation.","This guidance from the Therapeutic Goods Administration (TGA) is for Australian health practitioners who manufacture, supply and use medical devices. It helps them identify whether the devices are regulated by the TGA, and, if they are, it assists practitioners with how to comply with the requirements of the therapeutic goods legislation. Practitioners should note the information is indicative guidance only intended to help them identify:
a) how regulatory concepts might apply to them, and 
b) the specific features of a medical device and how circumstances of their own practice/business may affect the way it is regulated in Australia. 
Practitioners are responsible for ensuring they meet all relevant regulatory obligations when manufacturing, importing, supplying and using medical devices.
Main sections:
· Overview
· What is a medical device?
· Products that are not a medical device
· How are medical devices regulated?
· Manufacturing a medical device
· Manufacturer responsibilities
· Supplying a medical device
· Sector-specific examples for health practitioners",Mar-24,,Open,Active,"TGA
Guidance document
Medical devices
Regulation
Medical implants
Therapeutic goods legislation",,
ST728,Therapeutic Goods Administration (TGA),Guidance Document,,https://www.tga.gov.au/sites/default/files/2023-12/How-submit-custom-made-medical-device-patient-matched-medical-device-notification-guide.pdf,2,How to submit a custom-made medical device / patient-matched medical device notification v2.0,Step-by-step guide,This document describes how to complete and submit custom-made medical device and patient-matched medical device transition notifications.,"This document describes how to complete and submit custom-made medical device (CMMD) and patient-matched medical device (PMMD) transition notifications.
It is for manufacturers and sponsors who: 
· make, supply or import CMMDs 
· make or supply PMMDs supplied on or before 25 February 2021 and want these devices to be included in the Australian Register of Therapeutic Goods.
Main sections:
· Who needs to submit a CMMD notification
· Who needs to submit a PMMD notification
· Step 1: Getting started with the TGA
· Step 2: Access to the notification form
· Step 3: Submitting your CMMD Notification
· Step 4: After you have submitted a notification
· Further information and resources",,Dec-23,Open,Active,"Therapeutic Goods Administration
Guidance Document
Medical device
Custom-made medical device 
Patient-matched medical device
Notification
CMMD
PMMD
TGA",,
ST726,Therapeutic Goods Administration (TGA),Guidance Document,,https://www.tga.gov.au/sites/default/files/2023-06/digital-tools-medical-devices.pdf,1,Digital tools and medical devices v1.0,Guidance for the mental health sector,"This document provides guidance for the mental health sector about when their digital tools, aids, apps and products, including internet-based services, may be regulated as medical devices by the TGA.","This document provides guidance for the mental health sector about when their digital tools, aids, apps and products, including internet-based services, may be regulated as medical devices by the Therapeutic Goods Administration (TGA).
It aims to support providers of digital mental health services or products understand their regulatory obligations and outlines key differences between regulation and oversight by the TGA for digital mental health tools and products.
Main sections:
· What is in scope of this document
· What is out of scope of this document
· What are Digital Mental Health Tools and Products
· When is digital technology a medical device?
· TGA regulation of digital mental health products
· Example Scenarios of Regulation
· Privacy and data protection
· Post-market monitoring and standard conditions of inclusion in the ARTG
· Post market reviews
· How to apply to the TGA for ARTG inclusion of your mental health product",,May-23,Open,Active,"Therapeutic Goods Administration
Guidance document
Regulation
Medical devices
Mental health
Apps",,
ST731,Therapeutic Goods Administration (TGA),Supplementary Resource,,https://www.tga.gov.au/sites/default/files/2023-03/medical-device-patient-information-materials-a-fact-sheet_for-health-professionals.pdf,,Medical device patient information materials: a fact sheet for health professionals,,"This fact sheet for health professionals discusses providing patients with information about their medical devices. It discusses who is responsible for providing patient information leaflets (PILs) and patient implant cards (PICs) to patients, and when they should be supplied.","In response to feedback from consumers about the lack of information available about medical devices, the Australian Government introduced the requirement for suppliers of implanted medical devices to provide more information for patients in the form of patient information leaflets (PILs) and patient implant cards (PICs). The PICs and PILs discuss the risks posed by medical devices and provide other important information about their implantable or active implantable medical devices. This fact sheet provides information for health professionals about who is responsible for providing the PILs and PICs to patients, and when they should be supplied.
Main sections:
· What are medical device patient information materials?
· Patient information leaflet (PIL)
· Patient implant card (PIC)
· Who is responsible for providing PILs and PICs to patients?
· What if I cannot find a PIL or PIC for my patient?",,May-23,Open,Active,"TGA
Supplementary resource
Medical device
Patient information leaflets
PILs
Patient implant cards
PICs
Medical Implants",,
